date,total,median_cap_b,Utilities,Technology,Energy,Financial,Real Estate,Healthcare,Industrials,Consumer Defensive,Communication Services,Basic Materials,Consumer Cyclical
2026-07-06,98,11.65,1.0,10,1.0,20,11.0,29.0,15.0,4.0,4.0,1.0,2.0
2026-07-07,114,9.58,,12,2.0,26,11.0,33.0,16.0,5.0,4.0,2.0,3.0
2026-07-08,131,10.21,11.0,8,,36,20.0,35.0,4.0,7.0,4.0,1.0,5.0
2026-07-09,31,7.07,,2,6.0,2,2.0,13.0,1.0,2.0,,1.0,2.0
2026-07-10,66,8.96,,9,5.0,9,3.0,28.0,4.0,1.0,1.0,,6.0
2026-07-11,54,8.4,,8,6.0,11,,9.0,7.0,1.0,1.0,2.0,9.0
2026-07-14,60,9.99,3.0,3,9.0,12,4.0,10.0,9.0,1.0,2.0,1.0,6.0
2026-07-15,76,9.97,5.0,8,11.0,22,2.0,13.0,11.0,,,,4.0
2026-07-16,96,6.89,1.0,13,5.0,31,10.0,13.0,10.0,2.0,2.0,1.0,8.0
2026-07-17,120,5.37,2.0,4,4.0,52,15.0,15.0,15.0,2.0,1.0,2.0,8.0
2026-07-18,131,8.75,8.0,2,11.0,20,33.0,18.0,17.0,7.0,1.0,3.0,11.0
2026-07-21,59,4.1,3.0,1,12.0,7,10.0,11.0,5.0,2.0,2.0,1.0,5.0
2026-07-22,52,5.2,,3,13.0,4,10.0,9.0,8.0,1.0,,1.0,3.0
